config,benchmark,mode,il1_miss_rate,dl1_miss_rate,ul2_miss_rate,sim_num_insn,sim_elapsed_time,sim_CPI,vc_lookups,vc_hits,vc_hit_rate,mc_lookups,mc_hits,mc_hit_rate,sb_lookups,sb_hits,sb_hit_rate,sb_prefetches,ul2_d_accesses,ul2_i_accesses,ul2_total_accesses,source_csv
miss_stream_mc16_d16__dl1:16:32:1:l__ul2:16384:64:4:l,test-fmath,miss_stream,0.0110,0.1086,1.0000,53949,1,,0,0,,1814,768,0.4234,1046,456,0.4359,8850,10572,592,11164,results/ss/miss_stream_mc16_d16__dl1:16:32:1:l__ul2:16384:64:4:l/ss_miss_stream.csv
miss_stream_mc16_d16__dl1:16:32:1:l__ul2:16384:64:4:l,test-llong,miss_stream,0.0101,0.0628,1.0000,30132,1,,0,0,,661,79,0.1195,582,402,0.6907,2700,3417,305,3722,results/ss/miss_stream_mc16_d16__dl1:16:32:1:l__ul2:16384:64:4:l/ss_miss_stream.csv
miss_stream_mc16_d16__dl1:16:32:1:l__ul2:16384:64:4:l,test-lswlr,miss_stream,0.0270,0.1120,1.0000,9367,1,,0,0,,536,60,0.1119,476,378,0.7941,1470,2034,253,2287,results/ss/miss_stream_mc16_d16__dl1:16:32:1:l__ul2:16384:64:4:l/ss_miss_stream.csv
miss_stream_mc16_d16__dl1:16:32:1:l__ul2:16384:64:4:l,test-math,miss_stream,0.0042,0.1340,1.0000,214193,1,,0,0,,7710,4842,0.6280,2868,764,0.2664,31560,38176,907,39083,results/ss/miss_stream_mc16_d16__dl1:16:32:1:l__ul2:16384:64:4:l/ss_miss_stream.csv
miss_mc4__dl1:1024:32:1:l__ul2:65536:64:4:l,test-fmath,miss,0.0110,0.0282,1.0000,53949,1,,0,0,,471,0,0.0000,0,0,,0,471,592,1063,results/ss/miss_mc4__dl1:1024:32:1:l__ul2:65536:64:4:l/ss_miss.csv
miss_mc4__dl1:1024:32:1:l__ul2:65536:64:4:l,test-llong,miss,0.0101,0.0418,1.0000,30132,1,,0,0,,440,0,0.0000,0,0,,0,440,305,745,results/ss/miss_mc4__dl1:1024:32:1:l__ul2:65536:64:4:l/ss_miss.csv
miss_mc4__dl1:1024:32:1:l__ul2:65536:64:4:l,test-lswlr,miss,0.0270,0.0909,1.0000,9367,1,,0,0,,435,0,0.0000,0,0,,0,435,253,688,results/ss/miss_mc4__dl1:1024:32:1:l__ul2:65536:64:4:l/ss_miss.csv
miss_mc4__dl1:1024:32:1:l__ul2:65536:64:4:l,test-math,miss,0.0042,0.0095,1.0000,214193,1,,0,0,,544,0,0.0000,0,0,,0,555,907,1462,results/ss/miss_mc4__dl1:1024:32:1:l__ul2:65536:64:4:l/ss_miss.csv
victim_stream_vc16_d2__dl1:64:32:1:l__ul2:65536:64:4:l,test-fmath,victim_stream,0.0110,0.0468,1.0000,53949,1,,782,117,0.1496,0,0,,665,207,0.3113,458,1491,592,2083,results/ss/victim_stream_vc16_d2__dl1:64:32:1:l__ul2:65536:64:4:l/ss_victim_stream.csv
victim_stream_vc16_d2__dl1:64:32:1:l__ul2:65536:64:4:l,test-llong,victim_stream,0.0101,0.0518,1.0000,30132,1,,545,35,0.0642,0,0,,510,201,0.3941,309,1047,305,1352,results/ss/victim_stream_vc16_d2__dl1:64:32:1:l__ul2:65536:64:4:l/ss_victim_stream.csv
victim_stream_vc16_d2__dl1:64:32:1:l__ul2:65536:64:4:l,test-lswlr,victim_stream,0.0270,0.1016,1.0000,9367,1,,486,11,0.0226,0,0,,475,201,0.4232,274,946,253,1199,results/ss/victim_stream_vc16_d2__dl1:64:32:1:l__ul2:65536:64:4:l/ss_victim_stream.csv
victim_stream_vc16_d2__dl1:64:32:1:l__ul2:65536:64:4:l,test-math,victim_stream,0.0042,0.0353,1.0000,214193,1,,2032,371,0.1826,0,0,,1661,281,0.1692,1380,4087,907,4994,results/ss/victim_stream_vc16_d2__dl1:64:32:1:l__ul2:65536:64:4:l/ss_victim_stream.csv
victim_stream_vc4_d4__dl1:1024:32:1:l__ul2:16384:64:4:l,test-fmath,victim_stream,0.0110,0.0282,1.0000,53949,1,,471,0,0.0000,0,0,,471,297,0.6306,522,696,592,1288,results/ss/victim_stream_vc4_d4__dl1:1024:32:1:l__ul2:16384:64:4:l/ss_victim_stream.csv
victim_stream_vc4_d4__dl1:1024:32:1:l__ul2:16384:64:4:l,test-llong,victim_stream,0.0101,0.0418,1.0000,30132,1,,440,0,0.0000,0,0,,440,298,0.6773,426,568,305,873,results/ss/victim_stream_vc4_d4__dl1:1024:32:1:l__ul2:16384:64:4:l/ss_victim_stream.csv
victim_stream_vc4_d4__dl1:1024:32:1:l__ul2:16384:64:4:l,test-lswlr,victim_stream,0.0270,0.0909,1.0000,9367,1,,435,0,0.0000,0,0,,435,297,0.6828,414,552,253,805,results/ss/victim_stream_vc4_d4__dl1:1024:32:1:l__ul2:16384:64:4:l/ss_victim_stream.csv
victim_stream_vc4_d4__dl1:1024:32:1:l__ul2:16384:64:4:l,test-math,victim_stream,0.0042,0.0095,1.0000,214193,1,,544,0,0.0000,0,0,,544,316,0.5809,684,923,907,1830,results/ss/victim_stream_vc4_d4__dl1:1024:32:1:l__ul2:16384:64:4:l/ss_victim_stream.csv
victim_stream_vc4_d4__dl1:1024:32:1:l__ul2:16384:64:4:l,test-fmath,victim_stream,0.0110,0.0282,1.0000,53949,1,,471,0,0.0000,0,0,,471,297,0.6306,522,696,592,1288,results/ss/victim_stream_vc4_d4__dl1:1024:32:1:l__ul2:16384:64:4:l/ss_victim_stream.csv
victim_stream_vc4_d4__dl1:1024:32:1:l__ul2:16384:64:4:l,test-llong,victim_stream,0.0101,0.0418,1.0000,30132,1,,440,0,0.0000,0,0,,440,298,0.6773,426,568,305,873,results/ss/victim_stream_vc4_d4__dl1:1024:32:1:l__ul2:16384:64:4:l/ss_victim_stream.csv
victim_stream_vc4_d4__dl1:1024:32:1:l__ul2:16384:64:4:l,test-lswlr,victim_stream,0.0270,0.0909,1.0000,9367,1,,435,0,0.0000,0,0,,435,297,0.6828,414,552,253,805,results/ss/victim_stream_vc4_d4__dl1:1024:32:1:l__ul2:16384:64:4:l/ss_victim_stream.csv
victim_stream_vc4_d4__dl1:1024:32:1:l__ul2:16384:64:4:l,test-math,victim_stream,0.0042,0.0095,1.0000,214193,1,,544,0,0.0000,0,0,,544,316,0.5809,684,923,907,1830,results/ss/victim_stream_vc4_d4__dl1:1024:32:1:l__ul2:16384:64:4:l/ss_victim_stream.csv
victim_stream_vc4_d4__dl1:1024:32:1:l__ul2:16384:64:4:l,test-fmath,victim_stream,0.0110,0.0282,1.0000,53949,1,,471,0,0.0000,0,0,,471,297,0.6306,522,696,592,1288,results/ss/victim_stream_vc4_d4__dl1:1024:32:1:l__ul2:16384:64:4:l/ss_victim_stream.csv
