config,benchmark,mode,il1_miss_rate,dl1_miss_rate,ul2_miss_rate,sim_num_insn,sim_elapsed_time,sim_CPI,vc_lookups,vc_hits,vc_hit_rate,mc_lookups,mc_hits,mc_hit_rate,sb_lookups,sb_hits,sb_hit_rate,sb_prefetches,ul2_d_accesses,ul2_i_accesses,ul2_total_accesses,source_csv
victim_stream_vc2_d16__dl1:16:32:1:l__ul2:8192:64:4:l,test-lswlr,victim_stream,0.0270,0.1120,1.0000,9367,1,,536,20,0.0373,0,0,,516,380,0.7364,2040,2642,253,2895,results/ss/victim_stream_vc2_d16__dl1:16:32:1:l__ul2:8192:64:4:l/ss_victim_stream.csv
victim_stream_vc2_d16__dl1:16:32:1:l__ul2:8192:64:4:l,test-math,victim_stream,0.0042,0.1340,1.0000,214193,1,,7710,961,0.1246,0,0,,6749,1398,0.2071,80265,90128,907,91035,results/ss/victim_stream_vc2_d16__dl1:16:32:1:l__ul2:8192:64:4:l/ss_victim_stream.csv
miss_mc2__dl1:16:32:1:l__ul2:65536:64:4:l,test-fmath,miss,0.0110,0.1086,1.0000,53949,1,,0,0,,1814,209,0.1152,0,0,,0,2737,592,3329,results/ss/miss_mc2__dl1:16:32:1:l__ul2:65536:64:4:l/ss_miss.csv
miss_mc2__dl1:16:32:1:l__ul2:65536:64:4:l,test-llong,miss,0.0101,0.0628,1.0000,30132,1,,0,0,,661,36,0.0545,0,0,,0,1162,305,1467,results/ss/miss_mc2__dl1:16:32:1:l__ul2:65536:64:4:l/ss_miss.csv
miss_mc2__dl1:16:32:1:l__ul2:65536:64:4:l,test-lswlr,miss,0.0270,0.1120,1.0000,9367,1,,0,0,,536,36,0.0672,0,0,,0,966,253,1219,results/ss/miss_mc2__dl1:16:32:1:l__ul2:65536:64:4:l/ss_miss.csv
miss_mc2__dl1:16:32:1:l__ul2:65536:64:4:l,test-math,miss,0.0042,0.1340,1.0000,214193,1,,0,0,,7710,978,0.1268,0,0,,0,11244,907,12151,results/ss/miss_mc2__dl1:16:32:1:l__ul2:65536:64:4:l/ss_miss.csv
victim_stream_vc16_d2__dl1:16:32:1:l__ul2:65536:64:4:l,test-fmath,victim_stream,0.0110,0.1086,1.0000,53949,1,,1814,457,0.2519,0,0,,1357,238,0.1754,1119,3370,592,3962,results/ss/victim_stream_vc16_d2__dl1:16:32:1:l__ul2:65536:64:4:l/ss_victim_stream.csv
victim_stream_vc16_d2__dl1:16:32:1:l__ul2:65536:64:4:l,test-llong,victim_stream,0.0101,0.0628,1.0000,30132,1,,661,60,0.0908,0,0,,601,213,0.3544,388,1313,305,1618,results/ss/victim_stream_vc16_d2__dl1:16:32:1:l__ul2:65536:64:4:l/ss_victim_stream.csv
victim_stream_vc16_d2__dl1:16:32:1:l__ul2:65536:64:4:l,test-lswlr,victim_stream,0.0270,0.1120,1.0000,9367,1,,536,37,0.0690,0,0,,499,202,0.4048,297,1060,253,1313,results/ss/victim_stream_vc16_d2__dl1:16:32:1:l__ul2:65536:64:4:l/ss_victim_stream.csv
victim_stream_vc16_d2__dl1:16:32:1:l__ul2:65536:64:4:l,test-math,victim_stream,0.0042,0.1340,1.0000,214193,1,,7710,2688,0.3486,0,0,,5022,421,0.0838,4601,13714,907,14621,results/ss/victim_stream_vc16_d2__dl1:16:32:1:l__ul2:65536:64:4:l/ss_victim_stream.csv
miss_mc4__dl1:16:32:1:l__ul2:16384:64:4:l,test-fmath,miss,0.0110,0.1086,1.0000,53949,1,,0,0,,1814,366,0.2018,0,0,,0,2580,592,3172,results/ss/miss_mc4__dl1:16:32:1:l__ul2:16384:64:4:l/ss_miss.csv
miss_mc4__dl1:16:32:1:l__ul2:16384:64:4:l,test-llong,miss,0.0101,0.0628,1.0000,30132,1,,0,0,,661,49,0.0741,0,0,,0,1149,305,1454,results/ss/miss_mc4__dl1:16:32:1:l__ul2:16384:64:4:l/ss_miss.csv
miss_mc4__dl1:16:32:1:l__ul2:16384:64:4:l,test-lswlr,miss,0.0270,0.1120,1.0000,9367,1,,0,0,,536,47,0.0877,0,0,,0,955,253,1208,results/ss/miss_mc4__dl1:16:32:1:l__ul2:16384:64:4:l/ss_miss.csv
