config,benchmark,mode,il1_miss_rate,dl1_miss_rate,ul2_miss_rate,sim_num_insn,sim_elapsed_time,sim_CPI,vc_lookups,vc_hits,vc_hit_rate,mc_lookups,mc_hits,mc_hit_rate,sb_lookups,sb_hits,sb_hit_rate,sb_prefetches,ul2_d_accesses,ul2_i_accesses,ul2_total_accesses,source_csv,dl1_cfg,ul2_cfg,dl1_bytes,ul2_bytes,vc_entries,mc_entries,sb_depth,ul2_demand,dl1_miss_base,ul2_miss_base,ul2_demand_base,cpi_base,dl1_miss_norm,ul2_miss_norm,ul2_demand_norm,cpi_norm
miss_stream_mc4_d2__dl1:256:32:1:l__ul2:65536:64:4:l,test-llong,miss_stream,0.0101,0.0457,1.0,30132,1,,0,0,,481,6,0.0125,475,199,0.4189,276,758,305,1063.0,results/ss/miss_stream_mc4_d2__dl1:256:32:1:l__ul2:65536:64:4:l/ss_miss_stream.csv,dl1:256:32:1:l,ul2:65536:64:4:l,8192.0,16777216.0,,4.0,2.0,1063.0,0.0457,1.0,992.0,,1.0,1.0,1.0715725806451613,
miss_stream_mc4_d2__dl1:256:32:1:l__ul2:65536:64:4:l,test-lswlr,miss_stream,0.027,0.0963,1.0,9367,1,,0,0,,461,0,0.0,461,201,0.436,260,712,253,965.0,results/ss/miss_stream_mc4_d2__dl1:256:32:1:l__ul2:65536:64:4:l/ss_miss_stream.csv,dl1:256:32:1:l,ul2:65536:64:4:l,8192.0,16777216.0,,4.0,2.0,965.0,0.0963,1.0,906.0,,1.0,1.0,1.065121412803532,
miss_stream_mc4_d2__dl1:256:32:1:l__ul2:65536:64:4:l,test-math,miss_stream,0.0042,0.014,1.0,214193,1,,0,0,,806,2,0.0025,804,222,0.2761,582,1580,907,2487.0,results/ss/miss_stream_mc4_d2__dl1:256:32:1:l__ul2:65536:64:4:l/ss_miss_stream.csv,dl1:256:32:1:l,ul2:65536:64:4:l,8192.0,16777216.0,,4.0,2.0,2487.0,0.014,1.0,2129.0,,1.0,1.0,1.1681540629403475,
miss_stream_mc4_d2__dl1:256:32:1:l__ul2:65536:64:4:l,test-fmath,miss_stream,0.011,0.0347,1.0,53949,1,,0,0,,580,70,0.1207,510,199,0.3902,311,890,592,1482.0,results/ss/miss_stream_mc4_d2__dl1:256:32:1:l__ul2:65536:64:4:l/ss_miss_stream.csv,dl1:256:32:1:l,ul2:65536:64:4:l,8192.0,16777216.0,,4.0,2.0,1482.0,0.0347,1.0,1440.0,,1.0,1.0,1.0291666666666666,
miss_stream_mc4_d2__dl1:256:32:1:l__ul2:65536:64:4:l,test-llong,miss_stream,0.0101,0.0457,1.0,30132,1,,0,0,,481,6,0.0125,475,199,0.4189,276,758,305,1063.0,results/ss/miss_stream_mc4_d2__dl1:256:32:1:l__ul2:65536:64:4:l/ss_miss_stream.csv,dl1:256:32:1:l,ul2:65536:64:4:l,8192.0,16777216.0,,4.0,2.0,1063.0,0.0457,1.0,992.0,,1.0,1.0,1.0715725806451613,
miss_stream_mc4_d2__dl1:256:32:1:l__ul2:65536:64:4:l,test-lswlr,miss_stream,0.027,0.0963,1.0,9367,1,,0,0,,461,0,0.0,461,201,0.436,260,712,253,965.0,results/ss/miss_stream_mc4_d2__dl1:256:32:1:l__ul2:65536:64:4:l/ss_miss_stream.csv,dl1:256:32:1:l,ul2:65536:64:4:l,8192.0,16777216.0,,4.0,2.0,965.0,0.0963,1.0,906.0,,1.0,1.0,1.065121412803532,
miss_stream_mc4_d2__dl1:256:32:1:l__ul2:65536:64:4:l,test-math,miss_stream,0.0042,0.014,1.0,214193,1,,0,0,,806,2,0.0025,804,222,0.2761,582,1580,907,2487.0,results/ss/miss_stream_mc4_d2__dl1:256:32:1:l__ul2:65536:64:4:l/ss_miss_stream.csv,dl1:256:32:1:l,ul2:65536:64:4:l,8192.0,16777216.0,,4.0,2.0,2487.0,0.014,1.0,2129.0,,1.0,1.0,1.1681540629403475,
victim_stream_vc8_d4__dl1:16:32:1:l__ul2:32768:64:4:l,test-fmath,victim_stream,0.011,0.1086,1.0,53949,1,,1814,332,0.183,0,0,,1482,397,0.2679,3255,5472,592,6064.0,results/ss/victim_stream_vc8_d4__dl1:16:32:1:l__ul2:32768:64:4:l/ss_victim_stream.csv,dl1:16:32:1:l,ul2:32768:64:4:l,512.0,8388608.0,8.0,,4.0,6064.0,0.1086,1.0,3538.0,,1.0,1.0,1.7139626907857546,
victim_stream_vc8_d4__dl1:16:32:1:l__ul2:32768:64:4:l,test-llong,victim_stream,0.0101,0.0628,1.0,30132,1,,661,44,0.0666,0,0,,617,332,0.5381,855,1677,305,1982.0,results/ss/victim_stream_vc8_d4__dl1:16:32:1:l__ul2:32768:64:4:l/ss_victim_stream.csv,dl1:16:32:1:l,ul2:32768:64:4:l,512.0,8388608.0,8.0,,4.0,1982.0,0.0628,1.0,1503.0,,1.0,1.0,1.3186959414504325,
victim_stream_vc8_d4__dl1:16:32:1:l__ul2:32768:64:4:l,test-lswlr,victim_stream,0.027,0.112,1.0,9367,1,,536,35,0.0653,0,0,,501,302,0.6028,597,1262,253,1515.0,results/ss/victim_stream_vc8_d4__dl1:16:32:1:l__ul2:32768:64:4:l/ss_victim_stream.csv,dl1:16:32:1:l,ul2:32768:64:4:l,512.0,8388608.0,8.0,,4.0,1515.0,0.112,1.0,1255.0,,1.0,1.0,1.207171314741036,
