mode,benchmark,dl1_bytes,ul2_bytes,sb_lookups,ul2_demand,sb_hit_rate
victim_stream,test-lswlr,512,4194304,501,1515.0,0.6028
victim_stream,test-math,512,4194304,5684,25011.0,0.1383
victim_stream,test-fmath,512,4194304,1482,6064.0,0.2679
victim_stream,test-llong,512,4194304,617,1982.0,0.5381
victim_stream,test-lswlr,512,4194304,501,1515.0,0.6028
victim_stream,test-math,512,4194304,5684,25011.0,0.1383
miss_stream,test-fmath,32768,4194304,471,1560.0,0.7431
miss_stream,test-llong,32768,4194304,440,1057.0,0.7864
miss_stream,test-lswlr,32768,4194304,435,965.0,0.7954
miss_stream,test-math,32768,4194304,544,2302.0,0.682
miss_stream,test-fmath,32768,4194304,471,1560.0,0.7431
miss_stream,test-llong,32768,4194304,440,1057.0,0.7864
miss_stream,test-lswlr,32768,4194304,435,965.0,0.7954
miss_stream,test-math,32768,4194304,544,2302.0,0.682
miss_stream,test-fmath,512,16777216,1601,18748.0,0.3354
miss_stream,test-llong,512,16777216,625,4314.0,0.6528
miss_stream,test-lswlr,512,16777216,500,2639.0,0.76
miss_stream,test-math,512,16777216,6644,89275.0,0.2112
miss_stream,test-fmath,2048,8388608,565,1897.0,0.354
miss_stream,test-llong,2048,8388608,483,1300.0,0.4141
miss_stream,test-lswlr,2048,8388608,466,1181.0,0.4313
miss_stream,test-math,2048,8388608,1444,4636.0,0.1683
miss_stream,test-fmath,32768,2097152,471,1560.0,0.7431
miss_stream,test-llong,32768,2097152,440,1057.0,0.7864
miss_stream,test-lswlr,32768,2097152,435,965.0,0.7954
miss_stream,test-math,32768,2097152,544,2302.0,0.682
victim_stream,test-fmath,32768,4194304,471,1288.0,0.6306
victim_stream,test-llong,32768,4194304,440,873.0,0.6773
victim_stream,test-lswlr,32768,4194304,435,805.0,0.6828
victim_stream,test-math,32768,4194304,544,1830.0,0.5809
victim_stream,test-fmath,32768,4194304,471,1288.0,0.6306
victim_stream,test-llong,32768,4194304,440,873.0,0.6773
victim_stream,test-lswlr,32768,4194304,435,805.0,0.6828
victim_stream,test-math,32768,4194304,544,1830.0,0.5809
stream,test-fmath,8192,8388608,580,1620.0,0.3448
stream,test-llong,8192,8388608,481,1073.0,0.4158
stream,test-lswlr,8192,8388608,461,965.0,0.436
stream,test-math,8192,8388608,806,2493.0,0.2742
stream,test-fmath,32768,2097152,471,1288.0,0.6306
stream,test-llong,32768,2097152,440,873.0,0.6773
stream,test-lswlr,32768,2097152,435,805.0,0.6828
stream,test-math,32768,2097152,544,1830.0,0.5809
victim_stream,test-fmath,8192,2097152,542,1546.0,0.3672
victim_stream,test-llong,8192,2097152,475,1063.0,0.4189
victim_stream,test-lswlr,8192,2097152,461,965.0,0.436
victim_stream,test-math,8192,2097152,705,2303.0,0.305
victim_stream,test-fmath,2048,8388608,702,2695.0,0.4558
victim_stream,test-llong,2048,8388608,522,1598.0,0.5862
victim_stream,test-lswlr,2048,8388608,477,1355.0,0.631
victim_stream,test-math,2048,8388608,1803,7842.0,0.2224
victim_stream,test-fmath,2048,8388608,702,2695.0,0.4558
victim_stream,test-llong,2048,8388608,522,1598.0,0.5862
victim_stream,test-lswlr,2048,8388608,477,1355.0,0.631
victim_stream,test-math,2048,8388608,1803,7842.0,0.2224
victim_stream,test-fmath,2048,8388608,702,2695.0,0.4558
victim_stream,test-llong,2048,8388608,522,1598.0,0.5862
victim_stream,test-lswlr,2048,8388608,477,1355.0,0.631
victim_stream,test-math,2048,8388608,1803,7842.0,0.2224
victim_stream,test-fmath,512,4194304,1482,4170.0,0.1748
victim_stream,test-llong,512,4194304,613,1634.0,0.354
victim_stream,test-lswlr,512,4194304,501,1319.0,0.4012
victim_stream,test-math,512,4194304,5672,15707.0,0.0931
stream,test-fmath,2048,2097152,782,2309.0,0.2698
stream,test-llong,2048,2097152,545,1420.0,0.3706
stream,test-lswlr,2048,2097152,486,1219.0,0.4156
stream,test-math,2048,2097152,2032,5620.0,0.1668
victim_stream,test-fmath,2048,2097152,686,3671.0,0.5437
victim_stream,test-llong,2048,2097152,515,2038.0,0.6835
victim_stream,test-lswlr,2048,2097152,475,1643.0,0.7389
